gen,mejorfitness,mediapoblacion
1,0.0617,0.0045
2,0.0861,0.0156
3,0.0861,0.0363
4,0.1722,0.0588
5,0.1722,0.0671
6,0.1722,0.0647
7,0.1722,0.0506
8,0.1722,0.0624
9,0.1722,0.0810
10,0.1722,0.1139
11,0.1722,0.1114
12,0.1828,0.1006
13,0.1900,0.0863
14,0.2806,0.1205
15,0.2806,0.1161
16,0.3028,0.1578
17,0.3044,0.1802
18,0.4333,0.1445
19,0.4333,0.1965
20,0.5272,0.2484
21,0.5272,0.1734
22,0.5272,0.2973
23,0.5272,0.3302
24,0.5272,0.2614
25,0.5272,0.3023
26,0.5272,0.3459
27,0.5294,0.3801
28,0.5294,0.2699
29,0.5294,0.3959
30,0.5294,0.2925
31,0.5294,0.4027
32,0.5294,0.2846
33,0.5294,0.2928
34,0.5294,0.2103
35,0.5294,0.3284
36,0.5294,0.3770
37,0.5294,0.3038
38,0.5294,0.3771
39,0.5294,0.1534
40,0.5517,0.1821
41,0.5517,0.2399
42,0.5517,0.3018
43,0.5517,0.2904
44,0.5561,0.3581
45,0.5694,0.3504
46,0.5694,0.3058
47,0.5694,0.3214
48,0.5694,0.3035
49,0.5694,0.1924
50,0.5694,0.2099
51,0.5694,0.2463
52,0.5694,0.2792
53,0.5694,0.3189
54,0.5694,0.3332
55,0.5711,0.3534
56,0.5778,0.3715
57,0.5778,0.3454
58,0.5778,0.2949
59,0.5778,0.3481
60,0.6156,0.2897
61,0.6156,0.2723
62,0.6422,0.3177
63,0.6422,0.4000
64,0.6422,0.4250
65,0.6422,0.4238
66,0.6956,0.4646
67,0.6956,0.4289
68,0.6956,0.4245
69,0.6956,0.3522
70,0.6956,0.4333
71,0.6956,0.3456
72,0.6956,0.4051
73,0.6956,0.2944
74,0.6956,0.4883
75,0.6956,0.3386
76,0.6956,0.2679
77,0.6956,0.3160
78,0.6956,0.4055
79,0.6956,0.2174
80,0.6956,0.2589
81,0.6956,0.3198
82,0.6956,0.3325
83,0.6956,0.3742
84,0.6956,0.4407
85,0.6956,0.3961
86,0.6956,0.3151
87,0.6956,0.5171
88,0.6956,0.4061
89,0.6956,0.5032
90,0.6956,0.5418
91,0.6956,0.4495
92,0.6956,0.3823
93,0.6956,0.5428
94,0.6956,0.4597
95,0.6956,0.2908
96,0.6956,0.2909
97,0.7000,0.3112
98,0.7000,0.3095
99,0.7000,0.2147
100,0.7000,0.3065
101,0.7000,0.3852
102,0.7000,0.4104
103,0.7000,0.4694
104,0.7000,0.4180
105,0.7000,0.3294
106,0.7000,0.3428
107,0.7000,0.3794
108,0.7000,0.4352
109,0.7000,0.3187
110,0.7000,0.3846
111,0.7000,0.3781
112,0.7000,0.3342
113,0.7000,0.4191
114,0.7000,0.4911
115,0.7000,0.4627
116,0.7000,0.3917
117,0.7000,0.4847
118,0.7000,0.4264
119,0.7000,0.3831
120,0.7000,0.3209
121,0.7000,0.4348
122,0.7000,0.4379
123,0.7000,0.4982
124,0.7000,0.4011
125,0.7000,0.4902
126,0.7000,0.3709
127,0.7000,0.5123
128,0.7000,0.4022
129,0.7000,0.3777
130,0.7000,0.3209
131,0.7000,0.3471
132,0.7044,0.3589
133,0.7044,0.3216
134,0.7044,0.4112
135,0.7044,0.3929
136,0.7044,0.5004
137,0.7044,0.4392
138,0.7044,0.4477
139,0.7044,0.4957
140,0.7044,0.3843
141,0.7044,0.3154
142,0.7044,0.3925
143,0.7044,0.4030
144,0.7044,0.4015
145,0.7044,0.3274
146,0.7044,0.4198
147,0.7044,0.5201
148,0.7044,0.3766
149,0.7089,0.4529
150,0.7089,0.4745
151,0.7089,0.2854
152,0.7089,0.3076
153,0.7089,0.4445
154,0.7089,0.4533
155,0.7222,0.4327
156,0.7222,0.3517
157,0.7222,0.4422
158,0.7222,0.4679
159,0.7222,0.4071
160,0.7222,0.3578
161,0.7222,0.4094
162,0.7222,0.4793
163,0.7222,0.5437
164,0.7222,0.3944
165,0.7222,0.4683
166,0.7222,0.3322
167,0.7222,0.4131
168,0.7222,0.4369
169,0.7222,0.5141
170,0.7222,0.4111
171,0.7222,0.3339
172,0.7222,0.3952
173,0.7222,0.4976
174,0.7222,0.4325
175,0.7222,0.3230
176,0.7222,0.3779
177,0.7222,0.4325
178,0.7222,0.4459
179,0.7222,0.4267
180,0.7222,0.3995
181,0.7222,0.4226
182,0.7222,0.4132
183,0.7222,0.5060
184,0.7222,0.4016
185,0.7222,0.4749
186,0.7222,0.3861
187,0.7222,0.5201
188,0.7222,0.4430
189,0.7222,0.4189
190,0.7222,0.3411
191,0.7222,0.4559
192,0.7222,0.5082
193,0.7222,0.4490
194,0.7222,0.3678
195,0.7222,0.3736
196,0.7222,0.4073
197,0.7222,0.4407
198,0.7222,0.4629
199,0.7289,0.3854
200,0.7289,0.3296
201,0.7289,0.3681
202,0.7289,0.4680
203,0.7289,0.3955
204,0.7289,0.4936
205,0.7289,0.3630
206,0.7289,0.4813
207,0.7289,0.3161
208,0.7289,0.3520
209,0.7289,0.3789
210,0.7289,0.3324
211,0.7289,0.3868
212,0.7289,0.4478
213,0.7289,0.5182
214,0.7289,0.4608
215,0.7289,0.5049
216,0.7289,0.2394
217,0.7289,0.2721
218,0.7289,0.4344
219,0.7289,0.3732
220,0.7289,0.3976
221,0.7289,0.4587
222,0.7289,0.4734
223,0.7289,0.4458
224,0.7289,0.3874
225,0.7289,0.5344
226,0.7289,0.3398
227,0.7289,0.4399
228,0.7289,0.3460
229,0.7289,0.2966
230,0.7289,0.3692
231,0.7289,0.4811
232,0.7289,0.3610
233,0.7289,0.4074
234,0.7289,0.4144
235,0.7422,0.4025
236,0.7422,0.4017
237,0.7422,0.3572
238,0.7422,0.4201
239,0.7422,0.4483
240,0.7422,0.4907
241,0.7422,0.4744
242,0.7422,0.4883
243,0.7422,0.4770
244,0.7422,0.4256
245,0.7422,0.4287
246,0.7422,0.3979
247,0.7422,0.4314
248,0.7422,0.4431
249,0.7422,0.4427
250,0.7422,0.4750
251,0.7422,0.4244
252,0.7422,0.4503
253,0.7422,0.4368
254,0.7422,0.4436
255,0.7422,0.3915
256,0.7422,0.3961
257,0.7422,0.5085
258,0.7422,0.3932
259,0.7422,0.3446
260,0.7422,0.4624
261,0.7422,0.3882
262,0.7422,0.3309
263,0.7422,0.4362
264,0.7422,0.4137
265,0.7422,0.2986
266,0.7422,0.3434
267,0.7422,0.4187
268,0.7422,0.4690
269,0.7422,0.4573
270,0.7422,0.4984
271,0.7422,0.4084
272,0.7422,0.4887
273,0.7422,0.4296
274,0.7422,0.4626
275,0.7422,0.5035
276,0.7422,0.4148
277,0.7422,0.2376
278,0.7422,0.2763
279,0.7422,0.3926
280,0.7422,0.4203
281,0.7422,0.3194
282,0.7422,0.4301
283,0.7422,0.3921
284,0.7422,0.5084
285,0.7422,0.5396
286,0.7422,0.5880
287,0.7422,0.4651
288,0.7422,0.5547
289,0.7422,0.4713
290,0.7422,0.3226
291,0.7422,0.3826
292,0.7422,0.5154
293,0.7422,0.4368
294,0.7422,0.4657
295,0.7422,0.4836
296,0.7422,0.5149
297,0.7422,0.3684
298,0.7422,0.3611
299,0.7422,0.5416
300,0.7422,0.4623
301,0.7422,0.3709
302,0.7422,0.5236
303,0.7422,0.4224
304,0.7422,0.4549
305,0.7422,0.5144
306,0.7422,0.4508
307,0.7422,0.3416
308,0.7422,0.4446
309,0.7422,0.3599
310,0.7422,0.4355
311,0.7422,0.4668
312,0.7422,0.4604
313,0.7422,0.5320
314,0.7422,0.4047
315,0.7422,0.4265
316,0.7422,0.4729
317,0.7422,0.4562
318,0.7422,0.4123
319,0.7422,0.5553
320,0.7422,0.4942
321,0.7422,0.4330
322,0.7422,0.5467
323,0.7422,0.4687
324,0.7422,0.3571
325,0.7422,0.4449
326,0.7422,0.4572
327,0.7422,0.4384
328,0.7422,0.4103
329,0.7422,0.3767
330,0.7422,0.4372
331,0.7422,0.4166
332,0.7422,0.4555
333,0.7422,0.3551
334,0.7467,0.4441
335,0.7467,0.5190
336,0.7467,0.5146
337,0.7467,0.3421
338,0.7467,0.5307
339,0.7467,0.3863
340,0.7467,0.4442
341,0.7467,0.4656
342,0.7467,0.2649
343,0.7467,0.3584
344,0.7467,0.3869
345,0.7467,0.4990
346,0.7467,0.4635
347,0.7467,0.4040
348,0.7467,0.3069
349,0.7467,0.3864
350,0.7467,0.4340
351,0.7467,0.3946
352,0.7467,0.4840
353,0.7467,0.4470
354,0.7467,0.4727
355,0.7467,0.4245
356,0.7467,0.3884
357,0.7467,0.2752
358,0.7467,0.4154
359,0.7467,0.3424
360,0.7467,0.4773
361,0.7467,0.4034
362,0.7467,0.3540
363,0.7467,0.2667
364,0.7467,0.3371
365,0.7467,0.4075
366,0.7467,0.3443
367,0.7467,0.4026
368,0.7467,0.4548
369,0.7467,0.4803
370,0.7467,0.5132
371,0.7467,0.5277
372,0.7467,0.4333
373,0.7467,0.4934
374,0.7467,0.6214
375,0.7467,0.3193
376,0.7467,0.5020
377,0.7467,0.4941
378,0.7467,0.3545
379,0.7467,0.3938
380,0.7467,0.4916
381,0.7467,0.4217
382,0.7467,0.3661
383,0.7467,0.3081
384,0.7467,0.4196
385,0.7467,0.2873
386,0.7467,0.5872
387,0.7467,0.4833
388,0.7467,0.4864
389,0.7467,0.5143
390,0.7467,0.3448
391,0.7467,0.5387
392,0.7467,0.3542
393,0.7467,0.4389
394,0.7467,0.3712
395,0.7467,0.3710
396,0.7467,0.3985
397,0.7467,0.5379
398,0.7467,0.3606
399,0.7467,0.3448
400,0.7467,0.3266
401,0.7467,0.4584
402,0.7467,0.3406
403,0.7467,0.3004
404,0.7467,0.4363
405,0.7467,0.3520
406,0.7467,0.3523
407,0.7467,0.4963
408,0.7467,0.4269
409,0.7467,0.3832
410,0.7467,0.3517
411,0.7467,0.3659
412,0.7467,0.4253
413,0.7467,0.4104
414,0.7467,0.3326
415,0.7467,0.4403
416,0.7467,0.3611
417,0.7467,0.3868
418,0.7467,0.3905
419,0.7467,0.3766
420,0.7467,0.3972
421,0.7467,0.4170
422,0.7467,0.4788
423,0.7467,0.5694
424,0.7467,0.4091
425,0.7467,0.2760
426,0.7467,0.4978
427,0.7467,0.4871
428,0.7467,0.3799
429,0.7467,0.4277
430,0.7467,0.4686
431,0.7467,0.4446
432,0.7467,0.4287
433,0.7467,0.3979
434,0.7467,0.4182
435,0.7467,0.4492
436,0.7467,0.4446
437,0.7467,0.4148
438,0.7467,0.3357
439,0.7467,0.3441
440,0.7467,0.5030
441,0.7467,0.3408
442,0.7467,0.3688
443,0.7467,0.3907
444,0.7467,0.4893
445,0.7467,0.3844
446,0.7467,0.3020
447,0.7467,0.3536
448,0.7467,0.2852
449,0.7467,0.4237
450,0.7467,0.5142
451,0.7467,0.3860
452,0.7467,0.3899
453,0.7467,0.2524
454,0.7467,0.2904
455,0.7467,0.3637
456,0.7467,0.3702
457,0.7467,0.3729
458,0.7467,0.4146
459,0.7467,0.5019
460,0.7467,0.3290
461,0.7467,0.3304
462,0.7467,0.4144
463,0.7467,0.5307
464,0.7467,0.4203
465,0.7467,0.5105
466,0.7467,0.3242
467,0.7467,0.4554
468,0.7467,0.3582
469,0.7467,0.3498
470,0.7467,0.2785
471,0.7467,0.4146
472,0.7467,0.3952
473,0.7467,0.3601
474,0.7467,0.2865
475,0.7467,0.2800
476,0.7467,0.4549
477,0.7467,0.4172
478,0.7467,0.4621
479,0.7467,0.3859
480,0.7467,0.4155
481,0.7467,0.4729
482,0.7467,0.5605
483,0.7467,0.3595
484,0.7467,0.3960
485,0.7467,0.4706
486,0.7467,0.4858
487,0.7467,0.4542
488,0.7467,0.4266
489,0.7467,0.3925
490,0.7467,0.4534
491,0.7467,0.4742
492,0.7467,0.3936
493,0.7467,0.3801
494,0.7467,0.3376
495,0.7467,0.4643
496,0.7467,0.3612
497,0.7467,0.4018
498,0.7467,0.4377
499,0.7467,0.4064
500,0.7467,0.4196
501,0.7467,0.5381
502,0.7467,0.3103
503,0.7467,0.4622
504,0.7467,0.3583
505,0.7467,0.5136
506,0.7467,0.3789
507,0.7467,0.4647
508,0.7467,0.5167
509,0.7467,0.3452
510,0.7467,0.4941
511,0.7467,0.3984
512,0.7467,0.3524
513,0.7467,0.3819
514,0.7467,0.4217
515,0.7467,0.4691
516,0.7467,0.3204
517,0.7467,0.3675
518,0.7467,0.5043
519,0.7467,0.4266
520,0.7467,0.2526
521,0.7467,0.3857
522,0.7467,0.3649
523,0.7467,0.4774
524,0.7467,0.4664
525,0.7467,0.4673
526,0.7467,0.4779
527,0.7467,0.4570
528,0.7467,0.4572
529,0.7467,0.3411
530,0.7467,0.3596
531,0.7467,0.4067
532,0.7467,0.4878
533,0.7467,0.3872
534,0.7467,0.3606
535,0.7467,0.3512
536,0.7467,0.4598
537,0.7467,0.4860
538,0.7467,0.5101
539,0.7467,0.3540
540,0.7467,0.3586
541,0.7467,0.4278
542,0.7467,0.4478
543,0.7467,0.3041
544,0.7467,0.3457
545,0.7467,0.3926
546,0.7467,0.4274
547,0.7467,0.3805
548,0.7467,0.3629
549,0.7467,0.4730
550,0.7467,0.4894
551,0.7467,0.4780
552,0.7467,0.4634
553,0.7467,0.4417
554,0.7467,0.5125
555,0.7467,0.4838
556,0.7467,0.3405
557,0.7467,0.3641
558,0.7467,0.4393
559,0.7467,0.3481
560,0.7467,0.3309
561,0.7467,0.4407
562,0.7467,0.4344
563,0.7467,0.2956
564,0.7467,0.5308
565,0.7467,0.4101
566,0.7467,0.2994
567,0.7467,0.2770
568,0.7467,0.3932
569,0.7467,0.3796
570,0.7467,0.4681
571,0.7467,0.4579
572,0.7467,0.4324
573,0.7467,0.3771
574,0.7467,0.4516
575,0.7467,0.3471
576,0.7467,0.5272
577,0.7467,0.3131
578,0.7467,0.5228
579,0.7467,0.2825
580,0.7467,0.3554
581,0.7467,0.3845
582,0.7467,0.3268
583,0.7467,0.2632
584,0.7467,0.3818
585,0.7467,0.4771
586,0.7467,0.3295
587,0.7467,0.5550
588,0.7467,0.4273
589,0.7467,0.4131
590,0.7467,0.3983
591,0.7467,0.4379
592,0.7467,0.3842
593,0.7467,0.3632
594,0.7467,0.4737
595,0.7467,0.4231
596,0.7467,0.5253
597,0.7467,0.4681
598,0.7467,0.4532
599,0.7467,0.4525
600,0.7467,0.3101
601,0.7467,0.2586
602,0.7467,0.2544
603,0.7467,0.2839
604,0.7467,0.3488
605,0.7467,0.3806
606,0.7467,0.3837
607,0.7467,0.4560
608,0.7467,0.4259
609,0.7467,0.4229
610,0.7467,0.4389
611,0.7467,0.4654
612,0.7467,0.3621
613,0.7467,0.5238
614,0.7467,0.4307
615,0.7467,0.5105
616,0.7467,0.3812
617,0.7467,0.4475
618,0.7467,0.4677
619,0.7467,0.3541
620,0.7467,0.3597
621,0.7467,0.4539
622,0.7467,0.4248
623,0.7467,0.3782
624,0.7467,0.4332
625,0.7467,0.5559
626,0.7467,0.5749
627,0.7467,0.3728
628,0.7467,0.4559
629,0.7467,0.5362
630,0.7467,0.4300
631,0.7467,0.4732
632,0.7467,0.2973
633,0.7467,0.4262
634,0.7467,0.3740
635,0.7467,0.3210
636,0.7467,0.3958
637,0.7467,0.4019
638,0.7489,0.4541
639,0.7489,0.3991
640,0.7489,0.3775
641,0.7489,0.3035
642,0.7489,0.3254
643,0.7489,0.3306
644,0.7489,0.3618
645,0.7489,0.3289
646,0.7489,0.4697
647,0.7489,0.4711
648,0.7489,0.4328
649,0.7489,0.4976
650,0.7489,0.4440
651,0.7489,0.3793
652,0.7489,0.4755
653,0.7489,0.4464
654,0.7489,0.4336
655,0.7489,0.3952
656,0.7489,0.3671
657,0.7489,0.4459
658,0.7489,0.5631
659,0.7489,0.4812
660,0.7489,0.5794
661,0.7489,0.4680
662,0.7489,0.3871
663,0.7489,0.5220
664,0.7489,0.5808
665,0.7489,0.4594
666,0.7489,0.4628
667,0.7489,0.4221
668,0.7489,0.4425
669,0.7489,0.5198
670,0.7489,0.3530
671,0.7489,0.4833
672,0.7489,0.4771
673,0.7489,0.4117
674,0.7489,0.4828
675,0.7489,0.3834
676,0.7489,0.2964
677,0.7489,0.2979
678,0.7489,0.4432
679,0.7489,0.3937
680,0.7489,0.3414
681,0.7489,0.3124
682,0.7489,0.5067
683,0.7489,0.3584
684,0.7489,0.3848
685,0.7489,0.4071
686,0.7489,0.3475
687,0.7489,0.2447
688,0.7489,0.3504
689,0.7489,0.4110
690,0.7489,0.4210
691,0.7489,0.3618
692,0.7489,0.4537
693,0.7489,0.3303
694,0.7489,0.4089
695,0.7489,0.4280
696,0.7489,0.3685
697,0.7489,0.4185
698,0.7489,0.2873
699,0.7489,0.3418
700,0.7489,0.4571
701,0.7489,0.4187
702,0.7489,0.5199
703,0.7489,0.4751
704,0.7489,0.2635
705,0.7489,0.3101
706,0.7489,0.4027
707,0.7489,0.2847
708,0.7489,0.4091
709,0.7489,0.4048
710,0.7489,0.5554
711,0.7489,0.5607
712,0.7489,0.3450
713,0.7489,0.4725
714,0.7489,0.4513
715,0.7489,0.5697
716,0.7489,0.3518
717,0.7489,0.4352
718,0.7489,0.3776
719,0.7489,0.4804
720,0.7489,0.4904
721,0.7533,0.4973
722,0.7533,0.5387
723,0.7533,0.5267
724,0.7533,0.2494
725,0.7533,0.2502
726,0.7533,0.2547
727,0.7533,0.3375
728,0.7533,0.4826
729,0.7533,0.4519
730,0.7533,0.4295
731,0.7533,0.4513
732,0.7556,0.4408
733,0.7556,0.5162
734,0.7556,0.4569
735,0.7556,0.4552
736,0.7706,0.3736
737,0.7706,0.4520
738,0.7706,0.3456
739,0.7706,0.3818
740,0.7706,0.3636
741,0.7706,0.3576
742,0.7706,0.4981
743,0.7706,0.4279
744,0.7706,0.3540
745,0.7706,0.4501
746,0.7706,0.4810
747,0.7706,0.5149
748,0.7706,0.3796
749,0.7706,0.3568
750,0.7706,0.4273
751,0.7706,0.4880
752,0.7706,0.4737
753,0.7706,0.4114
754,0.7706,0.5358
755,0.7706,0.5041
756,0.7706,0.4353
757,0.7706,0.4722
758,0.7706,0.5124
759,0.7706,0.3564
760,0.7706,0.4919
761,0.7706,0.4573
762,0.7706,0.3610
763,0.7706,0.3325
764,0.7706,0.3266
765,0.7706,0.3269
766,0.7706,0.4090
767,0.7706,0.3991
768,0.7706,0.3981
769,0.7711,0.3387
770,0.7711,0.4828
771,0.7711,0.4274
772,0.7711,0.5227
773,0.7711,0.4086
774,0.7711,0.4384
775,0.7711,0.5029
776,0.7711,0.5644
777,0.7711,0.3356
778,0.7711,0.3952
779,0.7711,0.4395
780,0.7711,0.4457
781,0.7711,0.4077
782,0.7711,0.3583
783,0.7711,0.3463
784,0.7711,0.4305
785,0.7711,0.5582
786,0.7711,0.5236
787,0.7711,0.4778
788,0.7711,0.4169
789,0.7711,0.6379
790,0.7711,0.5801
791,0.7711,0.4433
792,0.7711,0.4849
793,0.7711,0.4986
794,0.7711,0.3273
795,0.7711,0.2972
796,0.7711,0.3947
797,0.7711,0.4704
798,0.7711,0.3716
799,0.7711,0.4582
800,0.7711,0.3984
801,0.7711,0.4064
802,0.7711,0.3720
803,0.7711,0.4374
804,0.7711,0.4118
805,0.7711,0.3669
806,0.7711,0.4061
807,0.7711,0.5577
808,0.7711,0.5320
809,0.7711,0.4374
810,0.7711,0.4476
811,0.7711,0.4346
812,0.7711,0.5048
813,0.7711,0.4424
814,0.7711,0.4393
815,0.7711,0.4048
816,0.7711,0.4683
817,0.7711,0.4271
818,0.7711,0.5190
819,0.7711,0.5328
820,0.7711,0.5289
821,0.7711,0.5306
822,0.7711,0.4269
823,0.7711,0.3914
824,0.7711,0.3118
825,0.7711,0.4232
826,0.7711,0.4054
827,0.7711,0.5046
828,0.7711,0.4694
829,0.7711,0.4534
830,0.7711,0.3244
831,0.7711,0.3516
832,0.7711,0.4865
833,0.7711,0.5206
834,0.7711,0.3935
835,0.7711,0.4906
836,0.7711,0.4317
837,0.7711,0.3886
838,0.7711,0.3797
839,0.7711,0.4113
840,0.7711,0.4616
841,0.7711,0.2730
842,0.7711,0.3227
843,0.7711,0.3159
844,0.7711,0.3751
845,0.7711,0.3734
846,0.7711,0.3826
847,0.7711,0.5063
848,0.7711,0.5219
849,0.7711,0.4622
850,0.7711,0.6029
851,0.7711,0.4661
852,0.7711,0.4452
853,0.7711,0.4610
854,0.7711,0.4572
855,0.7711,0.3720
856,0.7711,0.4955
857,0.7711,0.4543
858,0.7711,0.3534
859,0.7711,0.4924
860,0.7711,0.5165
861,0.7711,0.5139
862,0.7711,0.5129
863,0.7711,0.4329
864,0.7711,0.5201
865,0.7711,0.5426
866,0.7711,0.3633
867,0.7711,0.3609
868,0.7711,0.3296
869,0.7711,0.4462
870,0.7711,0.5022
871,0.7711,0.4903
872,0.7711,0.3633
873,0.7711,0.4731
874,0.7711,0.4341
875,0.7711,0.4165
876,0.7711,0.4242
877,0.7711,0.6164
878,0.7711,0.4464
879,0.7711,0.5606
880,0.7711,0.5413
881,0.7711,0.4254
882,0.7711,0.4100
883,0.7711,0.2900
884,0.7711,0.4597
885,0.7711,0.4019
886,0.7711,0.3591
887,0.7711,0.4299
888,0.7711,0.3052
889,0.7711,0.3687
890,0.7711,0.3761
891,0.7711,0.4029
892,0.7711,0.4519
893,0.7711,0.3926
894,0.7711,0.4125
895,0.7711,0.4597
896,0.7711,0.4418
897,0.7711,0.3740
898,0.7711,0.4263
899,0.7711,0.4667
900,0.7711,0.4142
901,0.7711,0.3702
902,0.7711,0.4661
903,0.7711,0.5230
904,0.7711,0.5102
905,0.7711,0.5119
906,0.7711,0.5108
907,0.7711,0.3775
908,0.7711,0.4925
909,0.7711,0.3033
910,0.7711,0.3750
911,0.7711,0.4295
912,0.7711,0.4540
913,0.7711,0.5443
914,0.7711,0.4676
915,0.7711,0.4201
916,0.7711,0.3474
917,0.7711,0.4613
918,0.7711,0.4465
919,0.7711,0.5340
920,0.7711,0.4076
921,0.7711,0.4084
922,0.7756,0.5005
923,0.7756,0.4642
924,0.7756,0.3449
925,0.7756,0.4418
926,0.7756,0.4707
927,0.7756,0.3824
928,0.7756,0.4509
929,0.7756,0.4808
930,0.7756,0.4008
931,0.7756,0.4849
932,0.7756,0.4777
933,0.7756,0.4754
934,0.7756,0.5954
935,0.7756,0.4555
936,0.7756,0.4763
937,0.7756,0.4737
938,0.7756,0.4625
939,0.7756,0.3731
940,0.7756,0.3372
941,0.7756,0.3197
942,0.7756,0.4430
943,0.7756,0.4811
944,0.7756,0.2801
945,0.7756,0.3105
946,0.7756,0.5354
947,0.7756,0.5616
948,0.7756,0.4575
949,0.7756,0.5272
950,0.7756,0.5176
951,0.7756,0.4974
952,0.7756,0.4260
953,0.7756,0.3513
954,0.7756,0.3295
955,0.7756,0.4811
956,0.7756,0.5745
957,0.7756,0.4566
958,0.7756,0.4261
959,0.7756,0.3797
960,0.7756,0.3740
961,0.7756,0.4703
962,0.7756,0.4604
963,0.7756,0.4198
964,0.7756,0.5296
965,0.7756,0.4355
966,0.7756,0.4953
967,0.7756,0.3962
968,0.7756,0.4185
969,0.7756,0.3634
970,0.7756,0.4503
971,0.7756,0.3811
972,0.7756,0.3888
973,0.7756,0.4895
974,0.7756,0.5921
975,0.7756,0.5058
976,0.7756,0.4729
977,0.7756,0.5379
978,0.7756,0.5128
979,0.7756,0.4659
980,0.7756,0.5419
981,0.7756,0.4203
982,0.7756,0.2842
983,0.7756,0.3388
984,0.7756,0.4251
985,0.7756,0.4822
986,0.7756,0.3748
987,0.7756,0.3765
988,0.7756,0.4551
